Country,Capital City,Latitude,Longitude,Population,Capital Type
Albania,Tiranë (Tirana),41.3275,19.8189,475577,Capital
Andorra,Andorra la Vella,42.5078,1.5211,22614,Capital
Armenia,Yerevan,40.1820,44.5146,1080324,Capital
Austria,Wien (Vienna),48.2064,16.3707,1900547,Capital
Azerbaijan,Baku,40.3777,49.8920,2285729,Capital
Belarus,Minsk,53.9000,27.5667,2004672,Capital
Belgium,Bruxelles-Brussel,50.8467,4.3499,2049510,Capital
Bosnia and Herzegovina,Sarajevo,43.8486,18.3564,342577,Capital
Bulgaria,Sofia,42.6975,23.3242,1272418,Capital
Croatia,Zagreb,45.8144,15.9780,685587,Capital
Cyprus,Lefkosia (Nicosia),35.1595,33.3669,269469,Capital
Czechia,Praha (Prague),50.0880,14.4208,1291552,Capital
Denmark,København (Copenhagen),55.6759,12.5655,1320826,Capital
Estonia,Tallinn,59.4370,24.7535,437027,Capital
Finland,Helsinki,60.1692,24.9402,1279096,Capital
France,Paris,48.8534,2.3488,10900952,Capital
Georgia,Tbilisi,41.6941,44.8337,1077333,Capital
Germany,Berlin,52.5244,13.4105,3552123,Capital
Greece,Athínai (Athens),37.9534,23.7490,3155600,Capital
Holy See,Vatican City,41.9024,12.4533,801,Capital
Hungary,Budapest,47.4980,19.0399,1759497,Capital
Iceland,Reykjavík,64.1355,-21.8954,216364,Capital
Ireland,Dublin,53.3331,-6.2489,1201426,Capital
Italy,Roma (Rome),41.8947,12.4811,4209710,Capital
Kazakhstan,Astana,51.1801,71.4460,1068113,Capital
Latvia,Riga,56.9460,24.1059,637089,Capital
Liechtenstein,Vaduz,47.1415,9.5215,5470,Capital
Lithuania,Vilnius,54.6892,25.2798,536055,Capital
Luxembourg,Luxembourg,49.6117,6.1300,119752,Capital
Malta,Valletta,35.8997,14.5147,212768,Capital
Monaco,Monaco,43.7333,7.4167,38897,Capital
Montenegro,Podgorica,42.4411,19.2636,177177,Capital
Netherlands,Amsterdam,52.3740,4.8897,1131690,Capital
Norway,Oslo,59.9127,10.7461,1012225,Capital
Poland,Warszawa (Warsaw),52.2298,21.0118,1767798,Capital
Portugal,Lisboa (Lisbon),38.7169,-9.1399,2927316,Capital
Romania,Bucuresti (Bucharest),44.4328,26.1043,1821380,Capital
San Marino,San Marino,43.9333,12.4500,4465,Capital
Serbia,Beograd (Belgrade),44.8176,20.4633,1389351,Capital
Slovakia,Bratislava,48.1482,17.1067,429920,Capital
Slovenia,Ljubljana,46.0511,14.5051,286491,Capital
Spain,Madrid,40.4165,-3.7026,6497124,Capital
Sweden,Stockholm,59.3326,18.0649,1582968,Capital
Switzerland,Bern,46.9481,7.4474,422153,Capital
Turkey,Ankara,39.9199,32.8543,4919074,Capital
Ukraine,Kyiv (Kiev),50.4454,30.5186,2956706,Capital
United Kingdom,London,51.5085,-0.1257,9046485,Capital
